,Unnamed: 0,id,object_name,chain,object_type,address,number,street,Url,Url_With_Coordinates
339,6030,29365,школа № 1279,False,столовая,"город москва, сивашская улица, дом 2, корпус 1",70,сивашская улица,"https://www.google.com/maps/search/город москва, сивашская улица, дом 2, корпус 1",https://maps.google.com/maps/api/staticmap?center=55.6602954%2C37.6061531&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=8g65xKRmEZRBcQx3S77CXAmL7UA
340,6119,25516,ресторан «бони мария»,False,ресторан,"город москва, 42-й километр московской кольцевой автодороги, владение 4, строение 1",170,42-й километр московской кольцевой автодороги,"https://www.google.com/maps/search/город москва, 42-й километр московской кольцевой автодороги, владение 4, строение 1",https://maps.google.com/maps/api/staticmap?center=55.6216595%2C37.4808846&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=z31niqCGrYXW6afPduLSPEyzrfc
341,6168,24627,кантина кафе офис клуб,False,кафе,"город москва, научный проезд, дом 19",200,научный проезд,"https://www.google.com/maps/search/город москва, научный проезд, дом 19",https://maps.google.com/maps/api/staticmap?center=55.6535668%2C37.5549991&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=PRruU0d8ze6VO-B50yNvmcfCn6g
342,6212,29088,школьно-базовая столовая,False,столовая,"город москва, 3-я железногорская улица, дом 11а",100,3-я железногорская улица,"https://www.google.com/maps/search/город москва, 3-я железногорская улица, дом 11а",https://maps.google.com/maps/api/staticmap?center=55.5217377%2C37.5480285&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=ruRky8H31T9OQpwTXUkk5-PIo3I
343,6239,98910,subway,True,фаст-фуд,"город москва, новобутовский проезд, владение 9, строение 1",12,новобутовский проезд,"https://www.google.com/maps/search/город москва, новобутовский проезд, владение 9, строение 1",https://maps.google.com/maps/api/staticmap?center=55.551338%2C37.5657948&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=8HAq_-L2b3rRQFaocy9vivPgmBk
344,6240,29092,школьно-базовая столовая,False,столовая,"город москва, улица академика понтрягина, дом 17, корпус 1",110,улица академика понтрягина,"https://www.google.com/maps/search/город москва, улица академика понтрягина, дом 17, корпус 1",https://maps.google.com/maps/api/staticmap?center=55.5336346%2C37.5014372&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=1AE97bEycUviCCS8ewHSo6Mk_jg
345,6246,29100,школьно-базовая столовая,False,столовая,"город москва, улица брусилова, дом 29, корпус 1",260,улица брусилова,"https://www.google.com/maps/search/город москва, улица брусилова, дом 29, корпус 1",https://maps.google.com/maps/api/staticmap?center=55.5021435%2C37.5926891&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=kwCS0kcwzE0Mg7R1EfRFlMqgZV4
346,6276,23962,соль и мясо,False,кафе,"город москва, синельниковская улица, дом 47",50,синельниковская улица,"https://www.google.com/maps/search/город москва, синельниковская улица, дом 47",https://maps.google.com/maps/api/staticmap?center=55.542365%2C37.5724396&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=Cp3YI5MD3UAzl6Lgyex8OG4Qo7M
347,6279,29382,ст.шк.20 «школьник-юз»,False,столовая,"город москва, улица академика арцимовича, дом 7",240,улица академика арцимовича,"https://www.google.com/maps/search/город москва, улица академика арцимовича, дом 7",https://maps.google.com/maps/api/staticmap?center=55.642364%2C37.515016&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=fElAfph-dDNPvXD1AgBsZBEG4hE
348,6290,28528,столовая при ну акушерства и гинекологии,False,столовая,"город москва, улица академика опарина, дом 4",80,улица академика опарина,"https://www.google.com/maps/search/город москва, улица академика опарина, дом 4",https://maps.google.com/maps/api/staticmap?center=55.6439252%2C37.4996698&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=Nb0NWA7uYIWDzMxJ976BCE-wyvs
349,6394,23420,столовая,False,столовая,"город москва, большая внуковская улица, дом 2а, строение 9",46,большая внуковская улица,"https://www.google.com/maps/search/город москва, большая внуковская улица, дом 2а, строение 9",https://maps.google.com/maps/api/staticmap?center=55.6141482%2C37.2922755&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=7Rj4E7DmA3ZksHZVyKSfdkl7BEc
