,Unnamed: 0,id,object_name,chain,object_type,address,number,street,Url,Url_With_Coordinates
1440,13566,205451,pitstopкафе,False,кафетерий,"город москва, ленинградский проспект, дом 4/2",3,ленинградский проспект,"https://www.google.com/maps/search/город москва, ленинградский проспект, дом 4/2",https://maps.google.com/maps/api/staticmap?center=55.778301%2C37.5815241&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=32bwtIfOL4POLuZ393LSQHfU6Ug
1441,13567,212055,coffebrain,False,фаст-фуд,"город москва, ленинградский проспект, дом 33, корпус 3",0,ленинградский проспект,"https://www.google.com/maps/search/город москва, ленинградский проспект, дом 33, корпус 3",https://maps.google.com/maps/api/staticmap?center=55.786991%2C37.5608999&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=Xd6nZpTOJCBrchONYiKWzX0_ZLs
1442,13568,215866,пекарня хлебница,False,кафетерий,"город москва, ленинградский проспект, дом 75, корпус 1",15,ленинградский проспект,"https://www.google.com/maps/search/город москва, ленинградский проспект, дом 75, корпус 1",https://maps.google.com/maps/api/staticmap?center=55.8049554%2C37.5123472&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=-oceXOk7XUP9A5g47MAl92tIdGk
1443,13569,214689,мята университет,False,кафе,"город москва, ленинский проспект, дом 70/11",28,ленинский проспект,"https://www.google.com/maps/search/город москва, ленинский проспект, дом 70/11",https://maps.google.com/maps/api/staticmap?center=55.6875568%2C37.5433826&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=aDg-5YjNg_j0jDvQvBWhLNbrEdE
1444,13570,209712,хорошие люди,False,кафе,"город москва, ленинский проспект, дом 70/11",40,ленинский проспект,"https://www.google.com/maps/search/город москва, ленинский проспект, дом 70/11",https://maps.google.com/maps/api/staticmap?center=55.6875568%2C37.5433826&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=aDg-5YjNg_j0jDvQvBWhLNbrEdE
1445,13571,206064,kuzina,False,кафе,"город москва, ленинский проспект, дом 73/8",4,ленинский проспект,"https://www.google.com/maps/search/город москва, ленинский проспект, дом 73/8",https://maps.google.com/maps/api/staticmap?center=55.6890787%2C37.5482151&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=CsVxp71ykWoLVKQjhyM4vP9mg58
1446,13572,206873,новатор кофе,False,кафе,"город москва, ленинский проспект, дом 77, корпус 1",8,ленинский проспект,"https://www.google.com/maps/search/город москва, ленинский проспект, дом 77, корпус 1",https://maps.google.com/maps/api/staticmap?center=55.6856679%2C37.5430068&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=s9nO9tb_CFDpGECmKSESRqYB2xw
1447,13578,206041,кулинария,False,кулинария,"город москва, ленинградский проспект, дом 65",28,ленинградский проспект,"https://www.google.com/maps/search/город москва, ленинградский проспект, дом 65",https://maps.google.com/maps/api/staticmap?center=55.8031427%2C37.5192166&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=nYTWC6-hKvWL4xwcwBPLh-EguYw
1448,13579,218510,craft beer,False,бар,"город москва, ленинский проспект, дом 3",10,ленинский проспект,"https://www.google.com/maps/search/город москва, ленинский проспект, дом 3",https://maps.google.com/maps/api/staticmap?center=55.7259373%2C37.6078316&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=7C88l3sH1coAZOWOQRSES6s4ulQ
1449,13580,223439,донер кебаб,False,фаст-фуд,"город москва, ленинский проспект, дом 39/1",0,ленинский проспект,"https://www.google.com/maps/search/город москва, ленинский проспект, дом 39/1",https://maps.google.com/maps/api/staticmap?center=55.7066563%2C37.5852852&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=qUsNoZnM3VgbCrmFHGPDBiNtLZI
