,id,object_name,chain,object_type,address,number,street,Url
566,26122,максима пицца,False,ресторан,"город москва, ленинградский проспект, дом 78, корпус 1",160,ленинградский проспект,"https://www.google.com/maps/search/город москва, ленинградский проспект, дом 78, корпус 1"
567,73830,французская выпечка,True,кафе,"город москва, ленинградский проспект, дом 78, корпус 1",6,ленинградский проспект,"https://www.google.com/maps/search/город москва, ленинградский проспект, дом 78, корпус 1"
582,80848,шаурма,False,фаст-фуд,"город москва, ленинский проспект, дом 2а",0,ленинский проспект,"https://www.google.com/maps/search/город москва, ленинский проспект, дом 2а"
583,139687,порто,False,ресторан,"город москва, ленинский проспект, дом 11, строение 1",71,ленинский проспект,"https://www.google.com/maps/search/город москва, ленинский проспект, дом 11, строение 1"
584,22636,де марко,True,кафе,"город москва, ленинский проспект, дом 13",120,ленинский проспект,"https://www.google.com/maps/search/город москва, ленинский проспект, дом 13"
585,26254,ресторан «пивнушка»,False,ресторан,"город москва, ленинский проспект, дом 28",80,ленинский проспект,"https://www.google.com/maps/search/город москва, ленинский проспект, дом 28"
586,154752,шаурма,False,закусочная,"город москва, ленинский проспект, дом 34/1",4,ленинский проспект,"https://www.google.com/maps/search/город москва, ленинский проспект, дом 34/1"
587,70724,кафетерий «итальянская кондитерская»,False,кафетерий,"город москва, ленинский проспект, дом 37",12,ленинский проспект,"https://www.google.com/maps/search/город москва, ленинский проспект, дом 37"
588,76398,ресторан «илья муромец»,True,ресторан,"город москва, ленинский проспект, дом 37",96,ленинский проспект,"https://www.google.com/maps/search/город москва, ленинский проспект, дом 37"
589,27076,ресторан «буйабез»,False,ресторан,"город москва, ленинский проспект, дом 37",60,ленинский проспект,"https://www.google.com/maps/search/город москва, ленинский проспект, дом 37"
590,27259,ресторан «корчма тарас бульба»,True,ресторан,"город москва, ленинский проспект, дом 37",70,ленинский проспект,"https://www.google.com/maps/search/город москва, ленинский проспект, дом 37"
591,134332,кофейня «шоколадница»,True,кафе,"город москва, ленинский проспект, дом 37а",43,ленинский проспект,"https://www.google.com/maps/search/город москва, ленинский проспект, дом 37а"
592,21550,школа № 1266,False,столовая,"город москва, ленинский проспект, дом 43",40,ленинский проспект,"https://www.google.com/maps/search/город москва, ленинский проспект, дом 43"
593,25780,пицца аморэ,False,ресторан,"город москва, ленинский проспект, дом 43",46,ленинский проспект,"https://www.google.com/maps/search/город москва, ленинский проспект, дом 43"
594,27083,флорентина сити,False,ресторан,"город москва, ленинский проспект, дом 57",80,ленинский проспект,"https://www.google.com/maps/search/город москва, ленинский проспект, дом 57"
595,26680,стейк хаус гудман,True,ресторан,"город москва, ленинский проспект, дом 57",80,ленинский проспект,"https://www.google.com/maps/search/город москва, ленинский проспект, дом 57"
596,117453,brawlers pab,False,ресторан,"город москва, ленинский проспект, дом 61/1",80,ленинский проспект,"https://www.google.com/maps/search/город москва, ленинский проспект, дом 61/1"
597,137523,true burgers,False,фаст-фуд,"город москва, ленинский проспект, дом 68/10",4,ленинский проспект,"https://www.google.com/maps/search/город москва, ленинский проспект, дом 68/10"
598,26678,шоколадница,True,кафе,"город москва, ленинский проспект, дом 68/10",68,ленинский проспект,"https://www.google.com/maps/search/город москва, ленинский проспект, дом 68/10"
599,26592,иль патио,True,ресторан,"город москва, ленинский проспект, дом 68/10",88,ленинский проспект,"https://www.google.com/maps/search/город москва, ленинский проспект, дом 68/10"
600,26290,иль-патио,True,кафе,"город москва, ленинский проспект, дом 68/10",88,ленинский проспект,"https://www.google.com/maps/search/город москва, ленинский проспект, дом 68/10"
601,24856,якитория,True,ресторан,"город москва, ленинский проспект, дом 68/10",96,ленинский проспект,"https://www.google.com/maps/search/город москва, ленинский проспект, дом 68/10"
602,156524,азбука вкуса,False,кафе,"город москва, ленинский проспект, дом 82/2",10,ленинский проспект,"https://www.google.com/maps/search/город москва, ленинский проспект, дом 82/2"
603,24612,южное,False,ресторан,"город москва, ленинский проспект, дом 87",80,ленинский проспект,"https://www.google.com/maps/search/город москва, ленинский проспект, дом 87"
604,156525,азбука вкуса,False,кафе,"город москва, ленинский проспект, дом 91",10,ленинский проспект,"https://www.google.com/maps/search/город москва, ленинский проспект, дом 91"
605,58505,черетто,False,кафе,"город москва, ленинский проспект, дом 95",75,ленинский проспект,"https://www.google.com/maps/search/город москва, ленинский проспект, дом 95"
606,23925,рика,False,кафе,"город москва, ленинский проспект, дом 99",36,ленинский проспект,"https://www.google.com/maps/search/город москва, ленинский проспект, дом 99"
607,83265,мюнгер,True,кафе,"город москва, ленинский проспект, дом 99",22,ленинский проспект,"https://www.google.com/maps/search/город москва, ленинский проспект, дом 99"
608,93507,кафе «башлам»,False,кафе,"город москва, ленинский проспект, дом 148",50,ленинский проспект,"https://www.google.com/maps/search/город москва, ленинский проспект, дом 148"
681,149899,сухарева башня,False,кафе,"город москва, проспект мира, дом 5, корпус 1",10,проспект мира,"https://www.google.com/maps/search/город москва, проспект мира, дом 5, корпус 1"
682,69300,ваби-саби,True,кафе,"город москва, проспект мира, дом 29",64,проспект мира,"https://www.google.com/maps/search/город москва, проспект мира, дом 29"
683,71378,шоколадница,True,кафе,"город москва, проспект мира, дом 29",40,проспект мира,"https://www.google.com/maps/search/город москва, проспект мира, дом 29"
684,146123,джаганнат,True,кафе,"город москва, проспект мира, дом 31",25,проспект мира,"https://www.google.com/maps/search/город москва, проспект мира, дом 31"
685,137644,krispy creme,True,кафе,"город москва, проспект мира, дом 40",36,проспект мира,"https://www.google.com/maps/search/город москва, проспект мира, дом 40"
686,128970,французская пекарня,False,кафе,"город москва, проспект мира, дом 47, строение 1",16,проспект мира,"https://www.google.com/maps/search/город москва, проспект мира, дом 47, строение 1"
687,150870,prime прайм стар,True,кафе,"город москва, проспект мира, дом 48, строение 6",32,проспект мира,"https://www.google.com/maps/search/город москва, проспект мира, дом 48, строение 6"
688,111162,брусника,True,кафе,"город москва, проспект мира, дом 49",40,проспект мира,"https://www.google.com/maps/search/город москва, проспект мира, дом 49"
689,156605,азбука вкуса,True,кафе,"город москва, проспект мира, дом 49",20,проспект мира,"https://www.google.com/maps/search/город москва, проспект мира, дом 49"
690,26026,an nam,False,ресторан,"город москва, проспект мира, дом 54",60,проспект мира,"https://www.google.com/maps/search/город москва, проспект мира, дом 54"
691,22476,чайхона,False,кафе,"город москва, проспект мира, дом 56, строение 2",40,проспект мира,"https://www.google.com/maps/search/город москва, проспект мира, дом 56, строение 2"
692,26028,ти-бон,False,ресторан,"город москва, проспект мира, дом 58",85,проспект мира,"https://www.google.com/maps/search/город москва, проспект мира, дом 58"
693,138708,кальянная хука хауз,False,бар,"город москва, проспект мира, дом 70",20,проспект мира,"https://www.google.com/maps/search/город москва, проспект мира, дом 70"
694,111152,wine point,False,кафе,"город москва, проспект мира, дом 77, корпус 1",35,проспект мира,"https://www.google.com/maps/search/город москва, проспект мира, дом 77, корпус 1"
