,id,object_name,chain,object_type,address,number,street
8085,27181,кантинетта антинори,False,ресторан,"город москва, денежный переулок, дом 20",80,денежный переулок
8120,152188,гбоу лицей 1574,False,столовая,"город москва, 1-я миусская улица, дом 4",120,1-я миусская улица
8134,29154,столовая шк 480,False,столовая,"город москва, средняя калитниковская улица, дом 22, строение 3",88,средняя калитниковская улица
8143,152084,15 kitchen+bar,False,ресторан,"город москва, пожарский переулок, дом 15",30,пожарский переулок
8147,22406,дорогая я перезвоню,True,бар,"город москва, большой строченовский переулок, дом 7",90,большой строченовский переулок
8168,27344,школа 1247,False,столовая,"город москва, госпитальный переулок, дом 3",35,госпитальный переулок
8199,141251,крейзи дейзи,False,бар,"город москва, тургеневская площадь, дом 2",45,тургеневская площадь
8229,27631,школа 1621,False,столовая,"город москва, малый казенный переулок, дом 3",100,малый казенный переулок
8239,24324,академия,True,кафе,"город москва, бутиковский переулок, дом 7",35,бутиковский переулок
8284,150829,гбоу школа №498,False,столовая,"город москва, тихий тупик, дом 2",0,тихий тупик
8316,143431,ribambelle,False,ресторан,"город москва, ботанический переулок, дом 5",80,ботанический переулок
8342,152201,столовая при гбоу школа 1231,False,столовая,"город москва, 7-й ростовский переулок, дом 16",40,7-й ростовский переулок
8343,153387,столовая при гбоу школа 1253,False,столовая,"город москва, пуговишников переулок, дом 7",70,пуговишников переулок
8360,29149,школа №83,False,столовая,"город москва, стрельбищенский переулок, дом 14",100,стрельбищенский переулок
8376,27788,лса,False,столовая,"город москва, большой знаменский переулок, дом 2, строение 26",24,большой знаменский переулок
8402,29158,столовая шк 1468,False,столовая,"город москва, брошевский переулок, дом 21",75,брошевский переулок
8445,25017,венская кофейня-кофе шоп,False,кафе,"город москва, известковый переулок, дом 1",65,известковый переулок
8449,21410,буфет школы 1305,False,буфет,"город москва, 2-й красносельский переулок, дом 18",130,2-й красносельский переулок
8725,154684,столовая школы №709,False,столовая,"город москва, 7-я северная линия, дом 13",300,7-я северная линия
8764,80008,вкусная жизнь,False,ресторан,"улица каманина, домовладение 11, строение 2",35,улица каманина
8777,150900,школа,False,столовая,"город москва, новопресненский переулок, дом 6",30,новопресненский переулок
8789,158540,кафетерий на заправке,False,кафетерий,"город москва, улица сайкина, дом 2",6,улица сайкина
8798,151546,кафе «skuratov»,False,кафе,"калашный переулок, дом 8а/5, строение 3",20,калашный переулок
8800,158330,crystal,False,ресторан,"город москва, шубинский переулок, дом 2/3",49,шубинский переулок
8814,156341,кафе «дубки»,False,кафе,"город москва, 6-й лучевой просек, дом 6",50,6-й лучевой просек
8817,156313,кафе «шашлычная»,False,кафе,"город москва, 2-й лучевой просек, дом 2",100,2-й лучевой просек
8818,156346,кафе «кафетерий»,False,кафе,"город москва, 3-й лучевой просек, дом 4а",50,3-й лучевой просек
8842,19800,набатчиков а.п.,False,буфет,"проектируемый проезд n 5231, дом 8, строение 3",20,проектируемый проезд n 5231
8875,149863,школьно-базовая столовая,False,столовая,"полевая улица, дом 20",205,полевая улица
8942,159001,чуковский,False,кафе,"город москва, 6-я улица новые сады, дом 2",32,6-я улица новые сады
